Artificial Sports Lighting,Automatic Start Gate,Bike Wash,Black Trails,Blue Trails,Extreme Trails,Facility ID,Finish Straight Length,Finish Straight Width,Green Trails,Length of All Trails,Length of Black Trails,Length of Blue Trails,Length of Extreme Trails,Length of Green Trails,Length of Red Trails,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,No of Persons Start Gate,Number of Straights,Number of Turns,Overall Width,Radius of Turns/Bends,Red Trails,Start Gate,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Surface,Timing System,Total Length,Width of Turns/Bends,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
0,0,,,,,30009331,,,,,,,,,,,,,,,,4.8,,,0,,,,,17,,100.0,,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,20004,20,3,,1,,,,,2017-02-16 15:16:06,2024-01-24 17:29:00,1,12,1,1,6003659,1,1990,0,2013,432763,388290,53.39045,-1.508826,Local Authority (in house),Local Authority,Free Public Access,Public Access
0,0,,,,,30009332,,,,,,,,,,,,,,,,6.0,,,1,,,,,17,,100.0,,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,20004,20,3,,1,,,,,2017-02-16 15:27:44,2023-06-09 11:10:21,0,12,1,1,1004384,1,2007,1,,433770,435547,53.81513,-1.488586,Sport Club,Others,Free Public Access,Public Access
0,,,,,,30009333,100.0,8.0,,,,,,,,,,,,,,8.0,18.0,,,,,,,3,0,750.0,,0,0,,0,,1,0,0,0,0,,0,0,0,0,0,20007,20,3,,1,,,,,2017-02-16 15:56:00,2023-11-22 09:21:06,0,12,1,1,1041458,2,2014,0,,409728,420371,53.67973,-1.854202,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,0,,,,,30009334,49.0,6.0,,,,,,,,,,,8,4,3,6.0,,,1,8.0,9.0,53.0,8.0,17,,300.0,7.2,0,0,,0,,1,1,1,1,1,,0,0,0,1,1,20003,20,3,,1,,,,,2017-02-16 15:57:13,2024-02-21 14:41:06,1,12,1,1,6002586,1,1990,0,2013,416747,434611,53.80754,-1.747164,Sport Club,Others,Free Public Access,Public Access
1,,,,,,30009336,80.0,4.0,,,,,,,,,,,,,,4.0,20.0,,,,,,,3,0,800.0,,1,0,,2,103,1,1,1,1,1,,1,1,1,1,1,20007,20,5,,1,,,,2019-11-15,2017-02-16 15:58:12,2019-11-18 11:12:24,0,12,1,1,1004423,2,2006,0,,415967,430084,53.76688,-1.759255,Local Authority (in house),Local Authority,Pay and Play,Public Access
0,,,,,,30009337,,,,,,,,,,,1.0,1.0,,,,7.0,,,,,,,,12,,92.0,,1,0,,0,,1,0,0,0,0,,0,0,0,0,0,20006,20,3,,1,,,,,2017-02-16 16:06:37,2023-09-04 15:12:26,0,12,1,1,30002753,1,2005,0,,434084,391252,53.417,-1.488645,Local Authority (in house),Local Authority,Sports Club / Community Association,Public Access
,,0,0,1,0,30009338,,,0,0.8,0.0,0.8,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,1,0,,0,,0,0,0,0,0,,0,0,0,0,0,20005,20,3,,1,,,,,2017-02-16 16:13:50,2024-03-07 14:26:06,0,12,1,1,1044203,2,2014,0,,415176,427370,53.74251,-1.771387,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,,,,,,30009339,,,,,,,,,,,8.0,1.0,,,,5.5,,,,,,,,12,,84.0,,1,0,,0,,1,1,1,1,1,,1,0,1,1,1,20006,20,3,,1,,,,,2017-02-16 16:18:15,2024-01-09 12:38:40,0,12,1,1,1202955,1,2000,1,,503084,425617,53.71682,-0.4394281,Local Authority (in house),Local Authority,Sports Club / Community Association,Public Access
1,,,,,,30009341,,,,,,,,,,,1.0,1.0,,,,5.0,,,,,,,,12,,70.0,,1,1,2014,0,,1,1,1,1,1,,1,1,1,1,1,20006,20,3,,1,,,,,2017-02-16 16:31:06,2023-08-30 12:04:01,0,12,1,1,1004749,2,2011,0,,435662,381397,53.32831,-1.466011,Trust,Trust,Sports Club / Community Association,Public Access
,,0,0,1,0,30009343,,,0,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,20005,20,3,,1,,,,,2017-02-16 16:57:37,2024-01-24 15:16:22,0,12,1,1,1041509,1,2012,0,,435233,389477,53.40097,-1.471555,Local Authority (in house),Local Authority,Free Public Access,Public Access
0,0,,,,,30009351,30.0,6.5,,,,,,,,,,,8,4,3,4.0,,,1,2.0,8.0,40.0,8.0,17,,240.0,5.0,0,0,,2,,1,0,0,0,0,,0,0,0,0,0,20003,20,3,,1,,,,,2017-02-17 13:45:44,2024-02-26 13:07:38,0,12,1,1,6002353,1,2008,0,,336908,427487,53.73994,-2.958006,Local Authority (in house),Local Authority,Pay and Play,Public Access
1,,,,,,30009352,,,,,,,,,,,1.0,1.0,,,,5.8,,,,,,,,12,,81.0,,1,0,,0,,0,0,0,0,1,,0,0,0,0,1,20006,20,3,"Dimensions of the track:
81 m long 5.8 m wide banking 1 in 12 (bends) 1 in 25 (straights)
",1,,,,,2017-02-17 15:25:08,2023-11-02 13:26:36,1,12,1,1,30005011,1,1980,0,2018,292993,90022,50.69996,-3.516581,Sport Club,Others,Sports Club / Community Association,Public Access
,,0,0,0,0,30009360,,,0,0.75,0.0,0.0,0.0,0.0,0.75,,,,,,,,,1,,,,,,,,,,1,0,,0,,1,0,1,1,1,,1,1,0,0,0,20005,20,3,,1,,,,,2017-02-20 09:48:31,2023-12-12 09:58:06,0,12,1,1,30005016,1,2013,1,,255189,57556,50.39999,-4.038956,Local Authority (in house),Local Authority,Free Public Access,Public Access
