Courts,Facility ID,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Surface Type,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
7,2021691,2,2,2,2,2,2,5,1,1,2018,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-18 13:37:38,0,12,1,1,1002953,2,2002,0,,357666,177870,51.49817,-2.611243,Commercial Management,Commercial,Registered Membership use,Public Access
8,2021692,2,2,2,2,2,2,1,1,0,,1,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,Bolton Middlebrook Leisure Trust,,,2023-08-24 13:57:52,1,12,1,1,1002999,2,2001,0,2010,364416,409316,53.57924,-2.53891,Trust,Trust,Pay and Play,Public Access
5,2021693,2,2,2,2,2,2,1,1,0,,2,,1,1,1,1,1,"Parking: 2 spaces, Finding/Reaching Entrance: Ramp, Emergency Exits: Ramp",1,1,1,1,1,4004,4,3,,1,,,,,,2024-01-24 10:52:16,1,12,1,1,1003042,2,1999,0,2009,410776,448316,53.93087,-1.837372,Sport Club,Others,Registered Membership use,Public Access
4,2021694,2,2,2,2,2,2,5,1,1,2012,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-23 16:32:16,1,12,1,1,1003058,2,2000,0,2007,450323,208811,51.77573,-1.271997,Commercial Management,Commercial,Registered Membership use,Public Access
2,2021695,2,2,2,2,2,2,1,1,1,2002,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-09-26 11:45:28,1,12,1,1,1003077,2,2002,0,2005,538019,168250,51.3965,-0.01744179,Sport Club,Others,Sports Club / Community Association,Public Access
11,2021698,2,2,2,2,2,2,1,1,1,2014,0,,1,1,1,1,1,Lift.,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-24 08:32:47,1,12,1,1,1003152,2,2001,0,2014,437777,115385,50.93667,-1.463742,Commercial Management,Commercial,Registered Membership use,Public Access
2,2021699,2,2,2,2,2,2,3,1,0,,0,,1,0,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-09-11 13:37:10,0,12,1,1,1003342,2,1980,0,,539871,194590,51.63274,0.01960417,Sport Club,Others,Registered Membership use,Public Access
6,2021700,2,2,2,2,2,2,5,1,0,,0,,1,1,1,1,1,Finding/Reaching Entrance: Ramp,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-22 14:00:13,0,12,1,1,1003434,2,2003,0,,554941,173264,51.43719,0.2278042,Commercial Management,Commercial,Registered Membership use,Public Access
6,2021701,2,2,2,2,2,2,5,1,1,2016,0,,1,1,1,1,1,,1,1,1,0,1,4004,4,3,,1,,,,,,2024-05-28 07:15:20,1,12,1,1,1003484,2,2003,0,2016,462606,451032,53.95163,-1.04752,Commercial Management,Commercial,Registered Membership use,Public Access
4,2021702,2,2,2,2,2,2,1,1,1,2006,0,,1,1,1,1,1,Parking: 6 Designated bays,1,1,1,1,1,4004,4,3,,1,,,Fusion Lifestyle,,,2024-01-22 14:02:10,1,12,1,1,1003581,2,1996,0,2003,558128,141357,51.14963,0.2594964,Trust,Trust,Pay and Play,Public Access
4,2021703,2,2,2,2,2,2,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,Fusion Lifestyle,,,2023-09-04 15:09:21,1,12,1,1,1003770,2,1996,0,2005,589745,187386,51.55345,0.7355738,Trust,Trust,Pay and Play,Public Access
2,2021704,2,2,2,2,2,2,5,1,0,,2,101,1,1,1,1,1,,1,1,1,1,1,4004,4,5,,1,,,,2017-09-01,,2018-03-23 12:13:26,1,12,1,1,1003942,2,1994,0,2004,444331,119095,50.96957,-1.37001,Trust,Trust,Registered Membership use,Public Access
8,2021705,2,2,2,2,2,2,3,1,0,,2,,1,1,1,1,1,,1,1,1,1,1,4001,4,3,,1,,,Everyone Active,,,2024-02-28 11:24:18,1,12,1,1,1004166,2,1988,0,2011,438056,554418,54.88308,-1.408362,Commercial Management,Commercial,Pay and Play,Public Access
6,2021706,2,2,2,2,2,2,1,1,0,,2,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-17 16:14:39,1,12,1,1,1004341,2,1998,0,2002,396575,294198,52.54564,-2.051931,Trust,Trust,Pay and Play,Public Access
4,2021708,2,2,2,2,2,2,1,1,1,2010,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-12-07 12:15:39,1,12,1,1,1004365,2,1977,0,2018,423584,426296,53.73254,-1.643991,Trust,Trust,Pay and Play,Public Access
6,2021709,2,2,2,2,2,2,1,1,0,,1,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-05-18 09:09:37,1,12,1,1,1004431,2,1998,0,2003,430230,429911,53.76469,-1.5429,Local Authority (in house),Local Authority,Pay and Play,Public Access
4,2021710,2,2,2,2,2,2,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-11-07 13:53:25,1,12,1,1,1004442,2,1999,0,2011,427125,436855,53.82727,-1.589392,School/College/University (in house),Education,Sports Club / Community Association,Public Access
3,2021711,2,2,2,2,2,2,1,1,1,2005,2,999,0,0,0,0,0,,0,0,0,0,0,4001,4,5,,1,,,,2008-12-01,,2023-10-17 12:29:56,0,12,1,1,1004567,3,1991,0,,637251,152031,51.21816,1.396047,Not Known,Not Known,Registered Membership use,Public Access
8,2021714,2,2,2,2,2,2,1,1,1,2014,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-30 12:03:57,1,12,1,1,1004749,2,1991,0,2012,435662,381397,53.32831,-1.466011,Trust,Trust,Pay and Play,Public Access
4,2021715,2,2,2,2,2,2,1,1,1,2014,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2024-05-03 11:13:55,1,12,1,1,1004836,2,1974,0,2004,484834,184877,51.55641,-0.7777116,Commercial Management,Commercial,Registered Membership use,Public Access
2,2021717,2,2,2,2,2,2,1,1,1,2002,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,Halo Leisure,,,2024-06-13 11:18:16,1,12,1,1,1005247,2,1997,0,2002,349135,259749,52.23359,-2.746207,Trust,Trust,Pay and Play,Public Access
6,2021719,2,2,2,2,2,2,5,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,2 of the 6 courts are a hardcourt,1,,,,,,2023-08-16 13:39:06,0,12,1,1,1005317,2,2006,0,,620818,311303,52.65449,1.263325,Commercial Management,Commercial,Registered Membership use,Public Access
4,2021721,2,2,2,2,2,2,1,1,1,2014,0,,1,1,1,1,1,Parking: 4 parking bays,1,1,1,1,1,4004,4,3,,1,,,,,,2023-07-20 10:54:07,0,12,1,1,1005760,2,2002,0,,476655,264595,52.27419,-0.8779476,Commercial Management,Commercial,Pay and Play,Public Access
6,2021722,2,2,2,2,2,2,1,1,1,2019,0,,1,1,1,1,1,,1,1,0,1,1,4004,4,3,,1,,,Everyone Active,,,2023-08-16 13:21:13,1,12,1,1,1005858,2,2000,0,2006,324909,123916,51.0097,-3.071719,Trust,Trust,Pay and Play,Public Access
